Date,Price,Open,High,Low,Volume,Chg%
2023-07-06,195.30,195.10,196.15,194.90,1.35K,0.00%
2023-07-05,195.30,195.70,197.00,194.80,2.15K,-0.51%
2023-07-04,196.30,195.30,196.55,195.15,1.19K,0.28%
2023-07-03,195.75,196.40,197.70,194.90,1.67K,-0.03%
2023-06-30,195.80,195.25,195.25,193.20,0.02K,0.00%
2023-06-29,195.80,194.40,195.45,194.30,0.14K,0.00%
2023-06-28,195.80,195.95,197.75,195.95,0.11K,0.00%
2023-06-27,195.80,195.95,197.25,193.55,0.03K,1.48%
2023-06-26,192.95,196.95,196.95,190.00,1.08K,-1.71%
2023-06-23,196.30,199.45,200.00,195.40,1.77K,-1.80%
2023-06-22,199.90,202.40,203.15,198.75,1.79K,-1.48%
2023-06-21,202.90,202.95,203.35,201.00,1.37K,-0.02%
2023-06-20,202.95,203.35,204.15,202.60,1.21K,-0.44%
2023-06-19,203.85,205.20,205.25,203.70,1.03K,-0.85%
2023-06-16,205.60,205.00,206.30,204.85,1.51K,0.39%
2023-06-15,204.80,204.35,204.90,203.10,1.77K,-0.12%
2023-06-14,205.05,204.65,205.35,204.50,1.21K,0.42%
2023-06-13,204.20,203.90,204.60,203.85,0.77K,0.25%
2023-06-12,203.70,204.85,205.30,203.60,1.25K,-1.00%
2023-06-09,205.75,205.60,206.50,205.40,1.27K,0.02%
2023-06-08,205.70,204.75,205.85,204.10,1.74K,0.59%
2023-06-07,204.50,205.20,205.35,204.10,1.58K,0.05%
2023-06-06,204.40,206.50,206.65,204.30,2.26K,-1.02%
2023-06-05,206.50,207.30,207.85,205.75,1.62K,-0.58%
2023-06-02,207.70,209.40,210.30,207.40,2.09K,-0.38%
2023-06-01,208.50,208.10,209.05,207.70,1.27K,-0.19%
2023-05-31,208.90,209.00,209.55,207.80,0.01K,0.43%
2023-05-30,208.00,208.90,208.90,204.10,0.03K,-0.43%
2023-05-29,208.90,210.50,210.50,207.15,0.02K,-0.52%
2023-05-26,210.00,212.30,212.70,208.75,0.02K,2.09%
2023-05-25,205.70,208.50,209.00,205.00,0.79K,-1.03%
2023-05-24,207.85,207.50,208.85,207.05,1.15K,-0.55%
2023-05-23,209.00,209.45,209.60,207.45,1.16K,-0.05%
2023-05-22,209.10,209.35,209.95,208.60,1.07K,-0.67%
2023-05-19,210.50,209.15,210.70,208.50,1.57K,0.69%
2023-05-18,209.05,208.00,209.60,207.95,1.65K,0.34%
2023-05-17,208.35,206.95,208.65,206.50,1.50K,0.68%
2023-05-16,206.95,207.65,207.95,206.25,1.31K,-0.39%
2023-05-15,207.75,205.65,208.50,205.65,1.85K,0.58%
2023-05-12,206.55,206.30,206.90,204.45,1.73K,0.15%
2023-05-11,206.25,208.00,208.65,206.00,2.02K,-0.89%
2023-05-10,208.10,209.45,209.95,207.75,1.65K,-0.79%
2023-05-09,209.75,208.50,210.45,207.45,2.46K,0.41%
2023-05-08,208.90,208.80,209.20,208.00,0.69K,0.34%
2023-05-05,208.20,206.95,208.60,205.20,2.38K,0.70%
2023-05-04,206.75,208.45,209.10,205.80,2.40K,-0.70%
2023-05-03,208.20,210.40,210.40,207.80,2.12K,-1.16%
2023-05-02,210.65,211.30,212.40,209.80,2.69K,-0.05%
2023-05-01,210.75,211.80,212.15,209.05,1.04K,-3.77%
2023-04-28,219.00,219.00,219.00,219.00,0.00K,3.62%
2023-04-27,211.35,207.10,220.00,207.00,0.00K,-0.31%
2023-04-26,212.00,212.00,212.00,212.00,0.00K,1.87%
2023-04-25,208.10,211.25,215.70,207.20,0.02K,-1.09%
2023-04-24,210.40,212.20,212.30,210.00,0.47K,-0.57%
2023-04-21,211.60,212.75,212.95,211.15,1.21K,-0.68%
2023-04-20,213.05,213.75,215.10,212.65,1.98K,-0.63%
2023-04-19,214.40,214.10,214.65,212.00,2.10K,0.05%
2023-04-18,214.30,210.00,214.40,209.70,2.75K,2.36%
2023-04-17,209.35,209.75,210.30,208.05,1.72K,-0.21%
2023-04-14,209.80,209.60,211.25,209.30,1.10K,0.67%
2023-04-13,208.40,205.15,209.00,205.00,2.34K,1.51%
2023-04-12,205.30,204.75,205.90,203.40,3.00K,0.39%
2023-04-11,204.50,207.00,207.00,204.05,2.70K,-1.37%
2023-04-10,207.35,206.60,207.70,206.30,0.67K,0.34%
2023-04-06,206.65,205.50,207.20,205.50,1.28K,0.34%
2023-04-05,205.95,208.15,208.15,205.15,1.87K,-1.06%
2023-04-04,208.15,209.45,209.50,207.40,1.29K,-0.57%
2023-04-03,209.35,209.55,211.90,209.05,2.15K,0.00%
2023-03-31,209.35,209.35,209.35,209.35,0.00K,1.01%
2023-03-30,207.25,206.65,207.00,206.65,0.01K,0.00%
2023-03-29,207.25,206.05,208.15,206.05,0.01K,0.46%
2023-03-28,206.30,206.50,209.95,204.00,0.07K,0.76%
2023-03-27,204.75,202.55,206.50,202.00,0.45K,0.89%
2023-03-24,202.95,204.70,205.20,202.25,1.47K,-0.61%
2023-03-23,204.20,202.90,204.50,202.35,1.00K,0.69%
2023-03-22,202.80,202.25,203.35,201.75,1.09K,0.00%
2023-03-21,202.80,203.55,204.30,202.35,1.33K,-0.54%
2023-03-20,203.90,203.75,204.75,201.40,1.89K,0.02%
2023-03-17,203.85,204.95,205.90,203.25,1.71K,-0.02%
2023-03-16,203.90,204.50,205.00,203.10,2.09K,-0.22%
2023-03-15,204.35,206.55,209.20,203.75,2.97K,-1.42%
2023-03-14,207.30,206.00,207.60,205.35,2.15K,0.41%
2023-03-13,206.45,205.35,206.90,202.95,2.94K,0.88%
2023-03-10,204.65,204.55,205.40,202.95,2.13K,-0.53%
2023-03-09,205.75,206.75,206.85,205.60,1.40K,-0.65%
2023-03-08,207.10,206.50,207.65,204.75,2.20K,0.10%
2023-03-07,206.90,207.70,207.90,206.55,1.21K,-0.96%
2023-03-06,208.90,209.40,209.40,207.60,1.81K,-0.31%
2023-03-03,209.55,210.45,210.95,209.35,1.72K,-0.17%
2023-03-02,209.90,212.10,213.50,209.70,2.81K,-1.15%
2023-03-01,212.35,209.50,212.65,208.70,2.78K,1.55%
2023-02-28,209.10,209.60,210.20,207.50,1.84K,-0.26%
2023-02-27,209.65,207.60,209.75,206.80,1.50K,0.70%
2023-02-24,208.20,210.55,210.70,206.55,1.73K,-1.19%
2023-02-23,210.70,211.40,211.95,209.15,1.23K,-0.45%
2023-02-22,211.65,215.00,215.00,210.50,1.46K,-1.58%
2023-02-21,215.05,214.95,216.60,214.90,0.95K,-0.21%
2023-02-20,215.50,214.40,215.60,214.00,0.58K,2.40%
2023-02-17,210.45,211.40,211.85,209.50,2.51K,-0.82%
2023-02-16,212.20,207.15,212.40,207.15,3.57K,0.28%
2023-02-15,211.60,213.70,213.70,211.20,3.43K,-1.01%
2023-02-14,213.75,213.95,214.90,213.20,3.38K,-0.16%
2023-02-13,214.10,215.65,216.65,213.00,4.23K,-0.67%
2023-02-10,215.55,218.10,218.30,214.10,4.32K,-1.62%
2023-02-09,219.10,218.05,219.40,217.00,4.29K,0.34%
2023-02-08,218.35,221.15,222.45,217.65,4.43K,-1.44%
2023-02-07,221.55,222.40,222.90,219.30,4.56K,0.00%
2023-02-06,221.55,222.45,225.50,219.20,6.82K,-0.78%
2023-02-03,223.30,224.95,225.85,222.50,4.61K,-0.84%
2023-02-02,225.20,225.95,227.45,224.00,5.58K,0.13%
2023-02-01,224.90,225.70,226.85,222.85,4.43K,1.86%
2023-01-31,220.80,220.60,221.10,220.00,0.03K,-0.94%
2023-01-30,222.90,224.00,227.70,221.60,0.12K,-0.73%
2023-01-27,224.55,225.85,226.90,224.00,0.15K,-0.77%
2023-01-25,226.30,226.30,226.70,224.00,0.23K,0.27%
2023-01-24,225.70,223.35,226.65,223.35,1.51K,0.94%
2023-01-23,223.60,220.60,224.45,220.25,4.01K,1.36%
2023-01-20,220.60,220.20,221.95,219.55,3.75K,0.23%
2023-01-19,220.10,221.50,222.45,218.20,5.87K,-0.74%
2023-01-18,221.75,222.65,226.45,220.00,6.12K,0.11%
2023-01-17,221.50,221.05,221.80,219.85,3.92K,0.05%
2023-01-16,221.40,220.15,222.60,218.20,5.56K,1.05%
2023-01-13,219.10,216.85,220.15,216.35,6.45K,1.62%
2023-01-12,215.60,213.05,215.90,211.15,6.04K,0.84%
2023-01-11,213.80,211.60,214.55,210.75,4.67K,1.28%
2023-01-10,211.10,212.80,212.80,209.15,5.27K,0.07%
2023-01-09,210.95,206.00,211.90,205.70,8.83K,3.00%
2023-01-06,204.80,204.40,205.20,201.80,6.02K,1.31%
2023-01-05,202.15,202.95,205.40,201.40,6.70K,-0.07%
2023-01-04,202.30,204.80,205.50,201.75,5.05K,-1.32%
2023-01-03,205.00,209.45,210.15,204.35,5.36K,-2.17%
2023-01-02,209.55,208.85,209.70,208.50,0.84K,-0.38%
2022-12-30,210.35,210.35,210.35,210.35,0.00K,1.35%
2022-12-29,207.55,207.00,209.00,207.00,0.01K,0.00%
2022-12-28,207.55,210.00,211.40,205.30,0.13K,-0.79%
2022-12-27,209.20,208.35,209.95,208.05,0.03K,1.19%
2022-12-26,206.75,206.35,207.50,205.90,0.50K,0.17%
2022-12-23,206.40,207.75,208.70,204.20,2.90K,-0.65%
2022-12-22,207.75,208.70,209.20,207.55,2.14K,-0.38%
2022-12-21,208.55,209.80,210.40,208.00,3.62K,-0.41%
2022-12-20,209.40,208.30,211.40,208.10,6.39K,0.34%
2022-12-19,208.70,210.20,210.35,207.65,4.24K,-0.52%
2022-12-16,209.80,211.15,211.70,209.05,5.93K,-0.14%
2022-12-15,210.10,213.10,213.30,209.85,6.69K,-1.29%
2022-12-14,212.85,213.65,213.65,211.55,4.04K,-0.02%
2022-12-13,212.90,211.25,214.20,210.80,5.74K,0.85%
2022-12-12,211.10,212.70,213.50,210.40,5.37K,-1.42%
2022-12-09,214.15,215.60,216.25,213.80,4.91K,-0.60%
2022-12-08,215.45,215.05,217.10,214.45,5.08K,0.16%
2022-12-07,215.10,215.40,215.85,213.55,6.20K,-0.12%
2022-12-06,215.35,215.55,216.80,213.65,7.18K,0.42%
2022-12-05,214.45,214.40,218.00,214.10,8.76K,0.16%
2022-12-02,214.10,211.10,216.50,209.15,10.41K,1.42%
2022-12-01,211.10,210.20,213.00,209.80,8.79K,0.43%
2022-11-30,210.20,208.00,211.50,208.00,0.01K,1.92%
2022-11-29,206.25,206.70,208.60,204.05,0.03K,0.76%
2022-11-28,204.70,204.60,205.00,203.55,0.07K,-0.53%
2022-11-25,205.80,205.85,206.50,204.50,0.09K,0.76%
2022-11-24,204.25,207.35,207.75,204.00,0.75K,-1.11%
2022-11-23,206.55,209.60,210.00,206.20,5.24K,-1.53%
2022-11-22,209.75,206.65,209.90,205.20,5.10K,1.67%
2022-11-21,206.30,208.60,208.60,204.40,5.40K,-1.36%
2022-11-18,209.15,207.65,210.00,206.25,6.53K,0.82%
2022-11-17,207.45,208.80,208.95,205.50,6.92K,-0.48%
2022-11-16,208.45,209.45,211.35,206.55,8.11K,-0.62%
2022-11-15,209.75,211.05,212.25,208.70,8.19K,-0.02%
2022-11-14,209.80,210.00,213.70,209.00,11.99K,-0.94%
2022-11-11,211.80,202.70,213.70,202.55,18.10K,5.03%
2022-11-10,201.65,204.60,204.60,199.20,11.58K,-0.02%
2022-11-09,201.70,206.80,208.20,201.50,12.55K,-2.02%
2022-11-08,205.85,203.50,207.15,202.80,6.01K,0.54%
