Date,Price,Volume,Open,High,Low
05/25/2023,71.83,393265,74.21,74.37,70.98
05/24/2023,74.34,368539,73.77,74.73,73.13
05/23/2023,72.91,296770,72.10,73.79,71.71
05/22/2023,71.99,13211,71.70,72.36,70.55
05/19/2023,71.55,34589,71.94,73.40,71.03
05/18/2023,71.86,66747,72.75,72.87,71.42
05/17/2023,72.83,249159,70.60,73.26,70.04
05/16/2023,70.86,212335,71.32,71.79,70.45
05/15/2023,71.11,236691,70.04,71.69,69.41
05/12/2023,70.04,255087,71.42,71.78,69.93
05/11/2023,70.87,332273,72.77,73.50,70.63
05/10/2023,72.56,331164,73.58,73.89,71.80
05/09/2023,73.71,293828,72.84,73.78,72.16
05/08/2023,73.16,266120,71.35,73.69,71.04
05/05/2023,71.34,308772,68.70,71.81,68.48
05/04/2023,68.56,387894,68.22,69.84,67.96
05/03/2023,68.60,471507,71.56,71.79,67.95
05/02/2023,71.66,396234,75.76,76.11,71.42
05/01/2023,75.66,199707,76.66,76.69,74.53
04/28/2023,76.78,306818,74.91,76.92,73.93
04/27/2023,74.76,324741,74.38,75.28,74.03
04/26/2023,74.30,472618,77.08,77.93,74.05
04/25/2023,77.07,342165,78.74,79.07,76.50
04/24/2023,78.76,288882,77.97,79.18,76.72
04/21/2023,77.87,275665,77.13,78.39,76.72
04/20/2023,77.29,17443,78.87,78.89,76.97
04/19/2023,79.16,45314,80.92,81.18,78.46
04/18/2023,80.86,75056,81.00,81.48,79.87
04/17/2023,80.83,188708,82.48,82.71,80.47
04/14/2023,82.52,243847,82.40,83.12,81.76
04/13/2023,82.16,233440,83.22,83.44,82.11
04/12/2023,83.26,323826,81.44,83.53,81.28
04/11/2023,81.53,282640,79.88,81.59,79.37
04/10/2023,79.74,238729,80.50,81.22,79.61
04/06/2023,80.70,240865,80.37,80.96,79.65
04/05/2023,80.61,240802,81.01,81.24,79.72
04/04/2023,80.71,315863,80.44,81.81,79.61
04/03/2023,80.42,521245,80.10,81.52,79.00
03/31/2023,75.67,282097,74.37,75.72,73.77
03/30/2023,74.37,255241,72.98,74.63,72.61
03/29/2023,72.97,301521,73.61,74.37,72.76
03/28/2023,73.20,311313,72.86,73.93,72.19
03/27/2023,72.81,328071,69.42,73.10,69.13
03/24/2023,69.26,365300,69.51,70.38,66.82
03/23/2023,69.96,321954,69.95,71.67,69.14
03/22/2023,70.90,324454,69.48,71.31,68.89
03/21/2023,69.33,16807,67.62,69.60,66.77
03/20/2023,67.64,39187,66.62,67.70,64.12
03/17/2023,66.74,136112,68.26,69.64,65.17
03/16/2023,68.35,308897,68.22,69.38,65.71
03/15/2023,67.61,530837,71.56,72.56,65.65
03/14/2023,71.33,410232,74.70,74.90,70.78
03/13/2023,74.80,431915,76.60,77.47,72.30
03/10/2023,76.68,344017,75.65,77.11,74.77
03/09/2023,75.72,323452,76.50,78.06,75.43
03/08/2023,76.66,312187,77.32,77.73,76.11
03/07/2023,77.58,370120,80.50,80.94,77.06
03/06/2023,80.46,279564,79.92,80.63,78.32
03/03/2023,79.68,357286,77.89,79.90,75.83
03/02/2023,78.16,242223,77.74,78.59,77.23
03/01/2023,77.69,321007,76.85,77.85,76.12
02/28/2023,77.05,284234,75.76,77.83,75.55
02/27/2023,75.68,253577,76.42,76.82,74.99
02/24/2023,76.32,313042,75.60,76.63,74.09
02/23/2023,75.39,317687,73.92,75.99,73.83
02/22/2023,73.95,309403,76.11,76.55,73.80
02/21/2023,76.16,20074,76.53,77.51,75.69
02/17/2023,76.34,66661,78.07,78.25,75.06
02/16/2023,78.49,101595,78.54,79.54,77.92
02/15/2023,78.59,240477,78.83,79.15,77.25
02/14/2023,79.06,279792,79.06,79.61,77.46
02/13/2023,80.14,271983,79.94,80.62,78.45
02/10/2023,79.72,316761,77.68,80.33,77.47
02/09/2023,78.06,296432,78.45,78.84,76.52
02/08/2023,78.47,322540,77.49,78.57,77.08
02/07/2023,77.14,369787,74.57,77.60,74.35
02/06/2023,74.11,361642,73.23,74.51,72.25
02/03/2023,73.39,394327,75.92,78.00,73.10
02/02/2023,75.88,318489,76.79,77.24,74.97
02/01/2023,76.41,335699,79.06,79.73,76.05
01/31/2023,78.87,292507,77.91,79.25,76.55
01/30/2023,77.90,308615,80.04,80.49,77.66
01/27/2023,79.68,349036,81.22,82.48,79.04
01/26/2023,81.01,276005,80.48,82.14,79.92
01/25/2023,80.15,284027,80.26,81.23,79.45
01/24/2023,80.13,269259,81.62,82.22,79.66
01/23/2023,81.62,280555,81.79,82.64,81.05
01/20/2023,81.31,13742,80.60,81.64,79.69
01/19/2023,80.33,33183,79.14,81.18,78.13
01/18/2023,79.48,73990,80.97,82.38,78.94
01/17/2023,80.18,284009,80.10,81.23,78.53
01/13/2023,79.86,245935,78.32,80.11,77.97
01/12/2023,78.39,276160,77.70,79.16,77.10
01/11/2023,77.41,320030,74.78,77.84,74.31
01/10/2023,75.12,275105,74.86,75.92,73.84
01/09/2023,74.63,297210,73.47,76.74,73.47
01/06/2023,73.77,236880,73.97,75.47,73.24
01/05/2023,73.67,281301,73.25,74.92,72.46
01/04/2023,72.84,330637,77.25,77.42,72.73
01/03/2023,76.93,322245,80.57,81.50,76.60
